buffer,BE,side,periode,signaler_sprunget_over_position_n,signaler_sprunget_over_dagslukket_n,zoner_n,beroeringer_n,ugyldig_foer_aktiv_pct,handler_n,censurerede_zoner_n,middel_R_brutto,middel_R_netto,middel_R_netto_ci95_lo,middel_R_netto_ci95_hi,win_rate_pct_netto,win_rate_ci95_lo_pct,win_rate_ci95_hi_pct,udfald_maal_pct,udfald_stop_pct,udfald_BE_pct,udfald_tidsexit_pct,udfald_censureret_pct,tidsexit_middel_R_netto,dage_med_handel_n,handler_pr_dag_middel,strejf_uden_gennemhandling_n,strejf_hvis_fyldt_middel_R_netto,strejf_hvis_fyldt_win_rate_pct_netto,risiko_pt_p10,kontrakter_p10,risiko_pt_p50,kontrakter_p50,risiko_pt_p90,kontrakter_p90,omk_R_netto_p50,kontrakter_maks,afvist_kontrakter_nul_n,N1_middel_R_netto_p5,N1_middel_R_netto_p50,N1_middel_R_netto_p95,N1_handler_n_p50,p_FWE,N2_middel_R_netto_p50
buffer_10,BE_1_2R,alle,2023,87,1948,3361,2251,30.76465337697114,276,5,0.20647468693467666,0.12843337269200736,-0.01810526433803039,0.2749720097220451,28.985507246376812,23.950511639237764,34.5974460190569,28.985507246376812,39.130434782608695,26.44927536231884,5.434782608695652,0.0,0.40150901577043163,229,1.205240174672489,3,1.3866817897314156,66.66666666666667,9.075000000000728,2.0,21.587500000000546,5.0,50.05000000000018,13.0,0.06084786521495227,37.0,1,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,demand,2019-2023,87,1948,7926,5507,28.07216754983598,670,4,0.16672668124517318,0.07145467672558033,-0.022644585601024378,0.16555393905218502,27.46268656716418,24.218785142365856,30.963550992229166,27.46268656716418,41.19402985074627,24.62686567164179,6.7164179104477615,0.0,0.49511662150193986,606,1.1056105610561056,4,-0.017005638589890182,25.0,7.424999999999272,2.0,21.174999999999272,5.0,53.899999999999636,16.0,0.062030696576153246,50.0,11,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,demand,2019,87,1948,1105,759,28.235294117647058,100,0,0.07493248077215423,-0.13473113363299022,-0.372244502738994,0.10278223547301357,24.0,16.691325556948772,33.232336349814474,24.0,41.0,28.0,7.0,0.0,0.20244238413502846,92,1.0869565217391304,1,-1.1254480519480843,0.0,3.850000000000364,5.300000000000001,8.9375,13.5,20.81749999999975,32.0,0.14699982782369136,50.0,0,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,demand,2020,87,1948,1742,1264,24.68427095292767,159,0,0.14285591730604133,0.05408858843339007,-0.1407523686284595,0.24892954549523963,27.044025157232703,20.74178776700441,34.429333562496325,27.044025157232703,42.76729559748428,24.528301886792452,5.660377358490566,0.0,0.6055356617667748,141,1.127659574468085,1,-1.1646505681818768,0.0,7.975000000000364,2.0,20.075000000000728,6.0,51.15000000000009,15.0,0.06542963885429401,50.0,2,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,demand,2021,87,1948,1654,1150,27.871825876662637,144,0,0.17581378552245353,0.09099847996320322,-0.11025859203036743,0.2922555519567739,27.083333333333332,20.490763932954493,34.86681943610136,27.083333333333332,39.583333333333336,23.61111111111111,9.722222222222221,0.0,0.326198697109406,126,1.1428571428571428,0,,,9.267500000000474,2.0,21.450000000000728,5.0,53.0474999999995,13.0,0.061235431235429155,37.0,1,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,demand,2022,87,1948,1712,1193,29.55607476635514,142,0,0.17301896851768087,0.12239625772046824,-0.09110918036802378,0.33590169580896023,28.87323943661972,22.053878709052576,36.80555640276467,28.87323943661972,45.070422535211264,20.422535211267604,5.633802816901408,0.0,0.8521406394491398,133,1.0676691729323309,0,,,15.674999999999272,1.0,33.82500000000073,3.0,72.04999999999927,7.0,0.038832224685882384,34.0,7,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,demand,2023,87,1948,1713,1141,30.122591943957968,125,4,0.25290927088516835,0.1781088919801685,-0.041018492041049015,0.397236276001386,29.6,22.302510872923897,38.11395719037583,29.6,36.8,28.0,5.6,0.0,0.5756319210880456,114,1.0964912280701755,2,1.1110380328852,50.0,9.075000000000728,2.0,22.274999999999636,5.0,48.785000000000245,13.0,0.058967452300786594,37.0,1,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,supply,2019-2023,87,1948,7724,5242,30.64474365613672,633,1,0.1325738405877372,0.04235672813230244,-0.05627360204852919,0.14098705831313407,28.436018957345972,25.060083795309218,32.07210409560752,28.436018957345972,44.54976303317535,21.64296998420221,5.371248025276461,0.0,0.2582839505517294,595,1.0638655462184874,7,1.3123781270983537,71.42857142857143,7.424999999999272,2.0,20.625,6.0,56.072500000000424,16.0,0.06368484848484848,50.0,7,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,supply,2019,87,1948,1085,779,27.37327188940092,87,0,-0.13140569848688888,-0.3089267562442965,-0.5560854504489516,-0.061768062039641414,19.54022988505747,12.57338159889031,29.083213651728517,19.54022988505747,52.87356321839081,20.689655172413794,6.896551724137931,0.0,0.22946400672237402,81,1.0740740740740742,1,1.6815757575757577,100.0,4.399999999999636,6.0,8.524999999999636,14.0,19.360000000000046,28.0,0.1540762463343174,50.0,0,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,supply,2020,87,1948,1633,1066,32.94549908144519,124,0,0.19526593122102845,0.11244151916774268,-0.12457619447908859,0.349459232814574,33.064516129032256,25.402587402462924,41.744220536495504,33.064516129032256,46.774193548387096,17.741935483870968,2.4193548387096775,0.0,0.2677887923768447,122,1.0163934426229508,1,1.967943868212325,100.0,8.524999999999636,2.0,20.625,6.0,50.490000000000514,14.0,0.06368484848484848,50.0,2,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
