kerne,periode,side,RTH_dage_n,signaler_n,dage_med_signal_n,dage_med_signal_pct,dage_med_signal_ci95_lo_pct,dage_med_signal_ci95_hi_pct,dage_med_signal_ci95_lo_n,dage_med_signal_ci95_hi_n,signaler_pr_dag_p50,signaler_pr_dag_p90,zoner_dannet_n,zoner_beroert_n,zoner_doede_ved_kontraktskift_n,zoner_doede_ved_kontraktskift_pct,zoner_doede_ved_kontraktskift_ci95_lo_pct,zoner_doede_ved_kontraktskift_ci95_hi_pct,zoner_aldrig_beroert_n,zoner_aldrig_beroert_pct,zoner_aldrig_beroert_ci95_lo_pct,zoner_aldrig_beroert_ci95_hi_pct,beroeringer_n,beroeringer_uden_for_vindue_n,beroeringer_uden_for_vindue_pct,beroeringer_uden_for_vindue_ci95_lo_pct,beroeringer_uden_for_vindue_ci95_hi_pct,beroeringer_i_vindue_n,afvist_af_stoploft_n,afvist_af_stoploft_pct,afvist_af_stoploft_ci95_lo_pct,afvist_af_stoploft_ci95_hi_pct,zonehoejde_pt_p10,zonehoejde_pt_p50,zonehoejde_pt_p90,kontrakter_p10,kontrakter_p50,kontrakter_p90,kontrakter_nul_n,omk_R_brutto,omk_R_netto_p10,omk_R_netto_p50,omk_R_netto_p90,be_WR_pct_brutto,be_WR_pct_netto_p50,be_WR_pct_netto_p90,zonealder_timer_p50,zonealder_timer_p90,dannet_uden_for_RTH_n,dannet_uden_for_RTH_pct,dannet_uden_for_RTH_ci95_lo_pct,dannet_uden_for_RTH_ci95_hi_pct,zoner_over_hul_n,signaler_fra_zoner_over_hul_n,zoner_basis_og_udbrud_i_hver_sin_kontrakt_n,zoner_ugyldige_foer_aktiv_n,zoner_ugyldige_foer_aktiv_pct,zoner_ugyldige_foer_aktiv_ci95_lo_pct,zoner_ugyldige_foer_aktiv_ci95_hi_pct,zoner_aktive_ikke_beroert_n,zoner_aktive_ikke_beroert_pct,zoner_aktive_ikke_beroert_ci95_lo_pct,zoner_aktive_ikke_beroert_ci95_hi_pct,zoner_aldrig_aktive_n,zoner_aldrig_aktive_pct,zoner_aldrig_aktive_ci95_lo_pct,zoner_aldrig_aktive_ci95_hi_pct,risiko_pt_p10,risiko_pt_p50,risiko_pt_p90,tid_til_aktiv_timer_p50,tid_til_aktiv_timer_p90,tid_efter_aktiv_timer_p50,tid_efter_aktiv_timer_p90,beroering_lige_efter_aktivering_n,beroering_lige_efter_aktivering_pct,beroering_lige_efter_aktivering_ci95_lo_pct,beroering_lige_efter_aktivering_ci95_hi_pct,signaler_aktiveret_i_udbrudslyset_n
v2_uden_buffer,2018,alle,251,769,234,93.22709163346613,89.42231152460548,95.72866861975193,224.45000192675977,240.27895823557736,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2018,demand,251,405,184,73.30677290836654,67.51302421053659,78.39787291798791,169.45769076844684,196.77866102414964,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2018,supply,251,364,189,75.2988047808765,69.60873642120633,80.22616900890145,174.71792841722788,201.36768421234262,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2019,alle,252,755,239,94.84126984126983,91.37520782529315,96.96074876350646,230.26552371973872,244.34108688403626,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2019,demand,252,397,192,76.19047619047619,70.5634192426837,81.03103327820811,177.8198164915629,204.19820386108444,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2019,supply,252,358,184,73.01587301587301,67.22024199949772,78.1203374885587,169.39500983873427,196.86325047116793,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2020,alle,253,672,218,86.16600790513834,81.36820323802799,89.88197609059657,205.86155419221083,227.4013995092093,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2020,demand,253,401,187,73.91304347826087,68.17332345089257,78.93745085929088,172.4785083307582,199.71175067400594,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2020,supply,253,271,157,62.055335968379445,55.937841767074325,67.81221800913386,141.52273967069803,171.56491156310867,1.0,2.8000000000000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2021,alle,252,702,235,93.25396825396825,89.46322937956484,95.7457906928171,225.4473380365034,241.2793925458991,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
