kontrakter,stop_ATR,WR_pct,omk,brudmodel,maal,pct_v1,CI95_lav_v1,CI95_hoej_v1,pct_v2,afvigelse_pp,inden_for_CI,identisk
2,0.75,34.0,brutto,opt,ruin,68.19,67.541,68.832,68.19,0.0,True,True
2,0.75,34.0,brutto,opt,uafgjort,0.13,0.089,0.19,0.13,0.0,True,True
2,0.75,34.0,brutto,pess,bestaa,29.08,28.455,29.713,29.08,0.0,True,True
2,0.75,34.0,brutto,pess,ruin,70.89,70.256,71.516,70.89,0.0,True,True
2,0.75,34.0,brutto,pess,uafgjort,0.03,0.014,0.065,0.03,0.0,True,True
2,0.75,37.0,netto,opt,bestaa,49.67,48.977,50.363,49.675,0.005,True,True
2,0.75,37.0,netto,opt,ruin,50.28,49.587,50.973,50.285,0.005,True,True
2,0.75,37.0,netto,opt,uafgjort,0.04,0.02,0.079,0.04,0.0,True,True
2,0.75,37.0,netto,pess,bestaa,45.76,45.07,46.451,45.755,-0.005,True,True
2,0.75,37.0,netto,pess,ruin,54.23,53.539,54.92,54.235,0.005,True,True
2,0.75,37.0,netto,pess,uafgjort,0.01,0.003,0.036,0.01,0.0,True,True
2,0.75,37.0,brutto,opt,bestaa,60.18,59.5,60.856,60.18,0.0,True,True
2,0.75,37.0,brutto,opt,ruin,39.74,39.064,40.42,39.74,0.0,True,True
2,0.75,37.0,brutto,opt,uafgjort,0.08,0.049,0.13,0.08,0.0,True,True
2,0.75,37.0,brutto,pess,bestaa,55.93,55.241,56.617,55.93,0.0,True,True
2,0.75,37.0,brutto,pess,ruin,44.04,43.353,44.729,44.04,0.0,True,True
2,0.75,37.0,brutto,pess,uafgjort,0.03,0.014,0.065,0.03,0.0,True,True
2,0.75,40.0,netto,opt,bestaa,73.83,73.216,74.435,73.835,0.005,True,True
2,0.75,40.0,netto,opt,ruin,26.13,25.526,26.743,26.13,0.0,True,True
2,0.75,40.0,netto,opt,uafgjort,0.04,0.02,0.079,0.035,-0.005,True,True
2,0.75,40.0,netto,pess,bestaa,69.53,68.888,70.164,69.53,0.0,True,True
2,0.75,40.0,netto,pess,ruin,30.46,29.826,31.102,30.46,0.0,True,True
2,0.75,40.0,netto,pess,uafgjort,0.01,0.003,0.036,0.01,0.0,True,True
2,0.75,40.0,brutto,opt,bestaa,81.28,80.733,81.815,81.28,0.0,True,True
2,0.75,40.0,brutto,opt,ruin,18.71,18.176,19.256,18.715,0.005,True,True
2,0.75,40.0,brutto,opt,uafgjort,0.01,0.003,0.036,0.005,-0.005,True,True
2,0.75,40.0,brutto,pess,bestaa,77.53,76.946,78.103,77.545,0.015,True,False
2,0.75,40.0,brutto,pess,ruin,22.46,21.887,23.044,22.455,-0.005,True,True
2,0.75,40.0,brutto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,0.75,45.0,netto,opt,bestaa,94.31,93.98,94.623,94.305,-0.005,True,True
2,0.75,45.0,netto,opt,ruin,5.7,5.387,6.03,5.695,-0.005,True,True
2,0.75,45.0,netto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,0.75,45.0,netto,pess,bestaa,92.41,92.035,92.769,92.41,0.0,True,True
2,0.75,45.0,netto,pess,ruin,7.59,7.231,7.965,7.59,0.0,True,True
2,0.75,45.0,netto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,0.75,45.0,brutto,opt,bestaa,96.26,95.988,96.514,96.26,0.0,True,True
2,0.75,45.0,brutto,opt,ruin,3.74,3.486,4.012,3.74,0.0,True,True
2,0.75,45.0,brutto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,0.75,45.0,brutto,pess,bestaa,94.94,94.628,95.235,94.935,-0.005,True,True
2,0.75,45.0,brutto,pess,ruin,5.07,4.774,5.383,5.065,-0.005,True,True
2,0.75,45.0,brutto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,34.0,netto,opt,bestaa,26.16,25.556,26.774,26.165,0.005,True,True
2,1.0,34.0,netto,opt,ruin,73.83,73.216,74.435,73.835,0.005,True,True
2,1.0,34.0,netto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,34.0,netto,pess,bestaa,23.21,22.63,23.8,23.215,0.005,True,True
2,1.0,34.0,netto,pess,ruin,76.79,76.2,77.37,76.785,-0.005,True,True
2,1.0,34.0,netto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,34.0,brutto,opt,bestaa,31.75,31.108,32.399,31.76,0.01,True,False
2,1.0,34.0,brutto,opt,ruin,68.25,67.601,68.892,68.24,-0.01,True,False
2,1.0,34.0,brutto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,34.0,brutto,pess,bestaa,28.45,27.829,29.079,28.45,0.0,True,True
2,1.0,34.0,brutto,pess,ruin,71.55,70.921,72.171,71.55,0.0,True,True
2,1.0,34.0,brutto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,37.0,netto,opt,bestaa,46.66,45.969,47.352,46.655,-0.005,True,True
2,1.0,37.0,netto,opt,ruin,53.34,52.648,54.031,53.345,0.005,True,True
2,1.0,37.0,netto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,37.0,netto,pess,bestaa,41.52,40.839,42.204,41.52,0.0,True,True
2,1.0,37.0,netto,pess,ruin,58.48,57.796,59.161,58.48,0.0,True,True
2,1.0,37.0,netto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,37.0,brutto,opt,bestaa,54.0,53.309,54.69,54.0,0.0,True,True
2,1.0,37.0,brutto,opt,ruin,46.0,45.31,46.691,46.0,0.0,True,True
2,1.0,37.0,brutto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,37.0,brutto,pess,bestaa,49.11,48.417,49.803,49.11,0.0,True,True
2,1.0,37.0,brutto,pess,ruin,50.89,50.197,51.583,50.89,0.0,True,True
2,1.0,37.0,brutto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,40.0,netto,opt,bestaa,67.65,66.998,68.295,67.66,0.01,True,False
2,1.0,40.0,netto,opt,ruin,32.35,31.705,33.002,32.34,-0.01,True,False
2,1.0,40.0,netto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,40.0,netto,pess,bestaa,62.03,61.355,62.7,62.03,0.0,True,True
2,1.0,40.0,netto,pess,ruin,37.97,37.3,38.645,37.97,0.0,True,True
2,1.0,40.0,netto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,40.0,brutto,opt,bestaa,74.16,73.549,74.762,74.16,0.0,True,True
2,1.0,40.0,brutto,opt,ruin,25.84,25.238,26.451,25.84,0.0,True,True
2,1.0,40.0,brutto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,40.0,brutto,pess,bestaa,69.05,68.406,69.687,69.045,-0.005,True,True
2,1.0,40.0,brutto,pess,ruin,30.95,30.313,31.594,30.955,0.005,True,True
2,1.0,40.0,brutto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,45.0,netto,opt,bestaa,88.86,88.416,89.289,88.86,0.0,True,True
2,1.0,45.0,netto,opt,ruin,11.14,10.711,11.584,11.14,0.0,True,True
2,1.0,45.0,netto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,45.0,netto,pess,bestaa,84.96,84.458,85.449,84.96,0.0,True,True
2,1.0,45.0,netto,pess,ruin,15.04,14.551,15.542,15.04,0.0,True,True
2,1.0,45.0,netto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,45.0,brutto,opt,bestaa,92.19,91.81,92.554,92.195,0.005,True,True
2,1.0,45.0,brutto,opt,ruin,7.8,7.436,8.18,7.805,0.005,True,True
2,1.0,45.0,brutto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,1.0,45.0,brutto,pess,bestaa,89.17,88.732,89.593,89.165,-0.005,True,True
2,1.0,45.0,brutto,pess,ruin,10.84,10.417,11.278,10.835,-0.005,True,True
2,1.0,45.0,brutto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
3,0.5,34.0,netto,opt,bestaa,18.83,18.294,19.378,18.83,0.0,True,True
3,0.5,34.0,netto,opt,ruin,81.06,80.511,81.597,81.065,0.005,True,True
3,0.5,34.0,netto,opt,uafgjort,0.1,0.065,0.154,0.105,0.005,True,True
3,0.5,34.0,netto,pess,bestaa,17.16,16.644,17.689,17.165,0.005,True,True
3,0.5,34.0,netto,pess,ruin,82.8,82.271,83.317,82.8,0.0,True,True
3,0.5,34.0,netto,pess,uafgjort,0.04,0.02,0.079,0.035,-0.005,True,True
3,0.5,34.0,brutto,opt,bestaa,31.86,31.218,32.509,31.86,0.0,True,True
3,0.5,34.0,brutto,opt,ruin,67.98,67.33,68.623,67.985,0.005,True,True
3,0.5,34.0,brutto,opt,uafgjort,0.15,0.105,0.214,0.155,0.005,True,True
3,0.5,34.0,brutto,pess,bestaa,29.09,28.465,29.723,29.095,0.005,True,True
