spor,tabel,noegle,stoerrelse,vaerdi
A,diagnose_kriterier,f3_sweep,falsk_middel_R_netto,-0.06954827347143683
A,diagnose_kriterier,f3_sweep,forskel_R_netto,0.06871210431405181
A,diagnose_kriterier,f3_sweep,forskel_ci95_lo,-0.050800311787291746
A,diagnose_kriterier,f3_sweep,forskel_ci95_hi,0.18822452041539536
A,diagnose_kriterier,f4_inducement,sand_n,1192.0
A,diagnose_kriterier,f4_inducement,falsk_n,2094.0
A,diagnose_kriterier,f4_inducement,sand_middel_R_netto,-0.1434931669650964
A,diagnose_kriterier,f4_inducement,falsk_middel_R_netto,-0.011245459442982308
A,diagnose_kriterier,f4_inducement,forskel_R_netto,-0.1322477075221141
A,diagnose_kriterier,f4_inducement,forskel_ci95_lo,-0.22207553593536333
A,diagnose_kriterier,f4_inducement,forskel_ci95_hi,-0.042419879108864855
A,diagnose_kriterier,f5_stakket,sand_n,960.0
A,diagnose_kriterier,f5_stakket,falsk_n,2326.0
A,diagnose_kriterier,f5_stakket,sand_middel_R_netto,-0.04286531949292758
A,diagnose_kriterier,f5_stakket,falsk_middel_R_netto,-0.06596781615769105
A,diagnose_kriterier,f5_stakket,forskel_R_netto,0.023102496664763474
A,diagnose_kriterier,f5_stakket,forskel_ci95_lo,-0.07207024121745559
A,diagnose_kriterier,f5_stakket,forskel_ci95_hi,0.11827523454698255
A,diagnose_kriterier,f6_retning,sand_n,1786.0
A,diagnose_kriterier,f6_retning,falsk_n,1500.0
A,diagnose_kriterier,f6_retning,sand_middel_R_netto,-0.04401940211576178
A,diagnose_kriterier,f6_retning,falsk_middel_R_netto,-0.07731546327816623
A,diagnose_kriterier,f6_retning,forskel_R_netto,0.033296061162404446
A,diagnose_kriterier,f6_retning,forskel_ci95_lo,-0.05250342752011696
A,diagnose_kriterier,f6_retning,forskel_ci95_hi,0.11909554984492585
A,diagnose_kriterier,f7_discount,sand_n,2204.0
A,diagnose_kriterier,f7_discount,falsk_n,1082.0
A,diagnose_kriterier,f7_discount,sand_middel_R_netto,-0.09602875295793786
A,diagnose_kriterier,f7_discount,falsk_middel_R_netto,0.015762961574209942
A,diagnose_kriterier,f7_discount,forskel_R_netto,-0.11179171453214781
A,diagnose_kriterier,f7_discount,forskel_ci95_lo,-0.20283094595741885
A,diagnose_kriterier,f7_discount,forskel_ci95_hi,-0.020752483106876787
A,diagnose_side,demand,handler_n,1755.0
A,diagnose_side,demand,middel_R_netto,-0.07225854274631138
A,diagnose_side,demand,middel_R_netto_ci95_lo,-0.1302242424805199
A,diagnose_side,demand,middel_R_netto_ci95_hi,-0.014292843012102867
A,diagnose_side,supply,handler_n,1531.0
A,diagnose_side,supply,middel_R_netto,-0.04427047980158288
A,diagnose_side,supply,middel_R_netto_ci95_lo,-0.10769199922973768
A,diagnose_side,supply,middel_R_netto_ci95_hi,0.019151039626571935
A,diagnose_side,demand_minus_supply,handler_n,3286.0
A,diagnose_side,demand_minus_supply,middel_R_netto,-0.027988062944728505
A,diagnose_side,demand_minus_supply,middel_R_netto_ci95_lo,-0.11387687026191581
A,diagnose_side,demand_minus_supply,middel_R_netto_ci95_hi,0.05790074437245881
A,diagnose_aar,2019,handler_n,454.0
A,diagnose_aar,2019,middel_R_netto,-0.28595768400956284
A,diagnose_aar,2019,middel_R_netto_ci95_lo,-0.39630440741630907
A,diagnose_aar,2019,middel_R_netto_ci95_hi,-0.1756109606028166
A,diagnose_aar,2019,tvetydige_n,2.0
A,diagnose_aar,2020,handler_n,741.0
A,diagnose_aar,2020,middel_R_netto,-0.06652394078634682
A,diagnose_aar,2020,middel_R_netto_ci95_lo,-0.1568175429447081
A,diagnose_aar,2020,middel_R_netto_ci95_hi,0.023769661372014445
A,diagnose_aar,2020,tvetydige_n,7.0
A,diagnose_aar,2021,handler_n,698.0
A,diagnose_aar,2021,middel_R_netto,-0.047603485779773795
A,diagnose_aar,2021,middel_R_netto_ci95_lo,-0.1382871099468571
A,diagnose_aar,2021,middel_R_netto_ci95_hi,0.043080138387309515
A,diagnose_aar,2021,tvetydige_n,3.0
A,diagnose_aar,2022,handler_n,714.0
